team_id,team_name,color,team_logo_filename,stat_name,stat_display_name,stat_desc,stat_value,stat_rank,categories,stat_rank_display,color_hex,team_rank
3,Dallas Wings,002b5c,www/team/3.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",158,7,Defensive,7th,#002b5c,4
3,Dallas Wings,002b5c,www/team/3.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,285,8,Defensive,8th,#002b5c,4
3,Dallas Wings,002b5c,www/team/3.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1390,14,General,14th,#002b5c,4
3,Dallas Wings,002b5c,www/team/3.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,44.389,5,Offensive,5th,#002b5c,4
3,Dallas Wings,002b5c,www/team/3.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,78.552,6,Offensive,6th,#002b5c,4
3,Dallas Wings,002b5c,www/team/3.png,points,Points,The number of points scored.,3368,4,Offensive,4th,#002b5c,4
3,Dallas Wings,002b5c,www/team/3.png,avgPoints,Points Per Game,The average number of points scored per game.,84.2,,Offensive,,#002b5c,4
5,Indiana Fever,002d62,www/team/5.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",173,5,Defensive,5th,#002d62,3
5,Indiana Fever,002d62,www/team/5.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,235,12,Defensive,12th,#002d62,3
5,Indiana Fever,002d62,www/team/5.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1402,12,General,12th,#002d62,3
5,Indiana Fever,002d62,www/team/5.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,45.375,1,Offensive,1st,#002d62,3
5,Indiana Fever,002d62,www/team/5.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,77.518,7,Offensive,7th,#002d62,3
5,Indiana Fever,002d62,www/team/5.png,points,Points,The number of points scored.,3399,3,Offensive,3rd,#002d62,3
5,Indiana Fever,002d62,www/team/5.png,avgPoints,Points Per Game,The average number of points scored per game.,84.975,,Offensive,,#002d62,3
6,Los Angeles Sparks,552583,www/team/6.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",129,12,Defensive,12th,#552583,10
6,Los Angeles Sparks,552583,www/team/6.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,292,5,Defensive,5th,#552583,10
6,Los Angeles Sparks,552583,www/team/6.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1307,18,General,18th,#552583,10
6,Los Angeles Sparks,552583,www/team/6.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,42.335,10,Offensive,10th,#552583,10
6,Los Angeles Sparks,552583,www/team/6.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,76.501,10,Offensive,10th,#552583,10
6,Los Angeles Sparks,552583,www/team/6.png,points,Points,The number of points scored.,3136,10,Offensive,10th,#552583,10
6,Los Angeles Sparks,552583,www/team/6.png,avgPoints,Points Per Game,The average number of points scored per game.,78.4,,Offensive,,#552583,10
8,Minnesota Lynx,266092,www/team/8.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",168,6,Defensive,6th,#266092,6
8,Minnesota Lynx,266092,www/team/8.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,343,2,Defensive,2nd,#266092,6
8,Minnesota Lynx,266092,www/team/8.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1370,12,General,12th,#266092,6
8,Minnesota Lynx,266092,www/team/8.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,44.762,3,Offensive,3rd,#266092,6
8,Minnesota Lynx,266092,www/team/8.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,78.998,5,Offensive,5th,#266092,6
8,Minnesota Lynx,266092,www/team/8.png,points,Points,The number of points scored.,3279,6,Offensive,6th,#266092,6
8,Minnesota Lynx,266092,www/team/8.png,avgPoints,Points Per Game,The average number of points scored per game.,81.975,,Offensive,,#266092,6
9,New York Liberty,86cebc,www/team/9.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",179,4,Defensive,4th,#86cebc,2
9,New York Liberty,86cebc,www/team/9.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,316,4,Defensive,4th,#86cebc,2
9,New York Liberty,86cebc,www/team/9.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1463,7,General,7th,#86cebc,2
9,New York Liberty,86cebc,www/team/9.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,44.481,4,Offensive,4th,#86cebc,2
9,New York Liberty,86cebc,www/team/9.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,81.368,3,Offensive,3rd,#86cebc,2
9,New York Liberty,86cebc,www/team/9.png,points,Points,The number of points scored.,3424,2,Offensive,2nd,#86cebc,2
9,New York Liberty,86cebc,www/team/9.png,avgPoints,Points Per Game,The average number of points scored per game.,85.6,,Offensive,,#86cebc,2
11,Phoenix Mercury,3c286e,www/team/11.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",189,3,Defensive,3rd,#3c286e,7
11,Phoenix Mercury,3c286e,www/team/11.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,264,11,Defensive,11th,#3c286e,7
11,Phoenix Mercury,3c286e,www/team/11.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1293,19,General,19th,#3c286e,7
11,Phoenix Mercury,3c286e,www/team/11.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,43.676,6,Offensive,6th,#3c286e,7
11,Phoenix Mercury,3c286e,www/team/11.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,79.919,4,Offensive,4th,#3c286e,7
11,Phoenix Mercury,3c286e,www/team/11.png,points,Points,The number of points scored.,3258,7,Offensive,7th,#3c286e,7
11,Phoenix Mercury,3c286e,www/team/11.png,avgPoints,Points Per Game,The average number of points scored per game.,81.45,,Offensive,,#3c286e,7
14,Seattle Storm,2c5235,www/team/14.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",206,1,Defensive,1st,#2c5235,5
14,Seattle Storm,2c5235,www/team/14.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,372,1,Defensive,1st,#2c5235,5
14,Seattle Storm,2c5235,www/team/14.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1386,10,General,10th,#2c5235,5
14,Seattle Storm,2c5235,www/team/14.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,43.548,8,Offensive,8th,#2c5235,5
14,Seattle Storm,2c5235,www/team/14.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,83.983,1,Offensive,1st,#2c5235,5
