athlete_id,date,status,side,type,return_date
5106150,2024-09-24T01:55Z,Out,Left,Knee,2025-05-01
4066553,2024-09-26T15:31Z,Out,Not Specified,Ankle,2025-05-01
3058892,2024-09-18T22:58Z,Out,Not Specified,Illness,2025-05-01
4433404,2024-06-19T18:29Z,Out,,Knee,2025-05-01
4433293,2024-09-29T22:50Z,Out,Left,Lower Leg,2025-05-01
3142255,2024-09-29T22:06Z,Out,,Undisclosed,2025-05-01
3102133,2024-09-21T19:18Z,Out,Right,Hamstring,2025-05-01
4433468,2024-10-03T19:42Z,Out,Left,Knee,2025-05-01
4433408,2024-09-18T20:57Z,Out,Right,Ankle,2025-04-01
4398911,2024-09-15T18:11Z,Out,Left,Ankle,2025-05-01
2590093,2024-10-05T14:06Z,Day-To-Day,Not Specified,Head,2024-10-06
2984741,2024-10-05T13:54Z,Out,Not Specified,Illness,2024-10-06
3058902,2024-09-25T16:24Z,Out,Right,Ankle,2025-04-01
4433405,2024-09-25T16:16Z,Out,Not Specified,Shoulder,2025-04-01
4280892,2024-09-25T00:51Z,Out,,Foot,2025-04-01
4433402,2024-09-24T14:19Z,Out,,Wrist,2025-05-01
2566081,2024-09-19T14:05Z,Out,Not Specified,Knee,2025-05-01
2999035,2024-09-17T20:19Z,Out,Left,Calf,2025-05-01
2529458,2024-09-06T20:45Z,Out,Left,Ankle,2025-05-01
